step,loss
10,4.194
20,3.105
30,2.899
40,2.75
50,2.701
60,2.642
70,2.704
80,2.656
90,2.688
100,2.646
110,2.65
120,2.696
130,2.615
140,2.622
150,2.592
160,2.612
170,2.586
180,2.691
190,2.634
200,2.607
210,2.647
220,2.598
230,2.565
240,2.697
250,2.569
260,2.484
270,2.605
280,2.561
290,2.644
300,2.649
310,2.582
320,2.434
330,2.518
340,2.546
350,2.642
360,2.514
370,2.578
380,2.544
390,2.482
400,2.531
410,2.551
420,2.557
430,2.589
440,2.57
450,2.517
460,2.572
470,2.534
480,2.422
490,2.53
500,2.574
510,2.441
520,2.584
530,2.531
540,2.536
550,2.529
560,2.585
570,2.536
580,2.456
590,2.528
600,2.48
610,2.561
620,2.558
630,2.525
640,2.508
650,2.485
660,2.586
670,2.578
680,2.521
690,2.498
700,2.489
710,2.403
720,2.559
730,2.45
740,2.568
750,2.487
760,2.583
770,2.416
780,2.569
790,2.42
800,2.53
810,2.452
820,2.363
830,2.489
840,2.565
850,2.436
860,2.375
870,2.512
880,2.559
890,2.419
900,2.47
910,2.463
920,2.567
930,2.589
940,2.495
950,2.482
960,2.481
970,2.451
980,2.422
990,2.482
1000,2.51
1010,2.53
1020,2.505
1030,2.485
1040,2.525
1050,2.526
1060,2.502
